2018_player_id,2018_player_name,2018_position_id,2018_team_id,2017_player_id,2017_position_id
3785,Ashley Cole,2,1230,179,2
8859,Marco Donadel,3,1616,164,3
12780,Tyrone Mears,2,6977,502,2
12875,DaMarcus Beasley,2,1897,556,2
13356,Rod Fanni,2,1616,,
14278,Liam Ridgewell,2,1581,330,2
15208,Bastian Schweinsteiger,3,1207,608,3
15310,Nick Rimando,1,1899,347,1
15337,Tim Howard,1,436,26,1
15517,Kyle Beckerman,3,1899,358,3
16854,Philippe Senderos,2,1897,652,2
17279,David Villa,4,9668,239,4
18005,Jonathan Spector,2,6900,281,2
18529,Reto Ziegler,2,1903,,
18681,Roland Lamah,3,1903,118,3
18770,Bradley Wright-Phillips,4,399,265,4
19825,Ibson Barreto da Silva,3,6977,529,3
20226,Clint Dempsey,4,3500,412,4
20491,Chris McCann,3,11091,511,3
20525,Benny Feilhaber,3,11690,429,3
20962,Zoltan Stieber,3,1326,650,4
22820,Milton Valenzuela,2,454,,
222820,Milton Valenzuela,2,454,,
27058,Francois Affolter,2,1131,645,2
27678,Scott Sutter,2,6900,592,2
28188,Haris Medunjanin,3,5513,545,3
28580,Lee Nguyen,3,928,215,3
33808,Chad Marshall,2,3500,400,2
33823,Ricardo Clark,3,454,141,3
33900,Cristian Casseres Jr.,3,399,,
446090,Cristian Casseres Jr.,3,399,,
34160,Roman Torres,2,3500,401,2
34285,Maynor Figueroa,2,1903,106,2
34361,Roy Miller,2,1581,326,2
37368,Michael Bradley,3,2077,,
37740,Michael Ciani,2,1230,666,2
37996,Ignacio Piatti,3,1616,166,3
38099,Stefan Aigner,3,436,646,3
38401,Carlos Vela,4,11690,,
39226,Marcel de Jong,2,1708,470,2
39276,Will Johnson,3,6900,285,3
39976,Jay Simpson,4,5513,318,4
40275,Giovani dos Santos,4,1230,191,4
40283,Sebastian Giovinco,4,2077,462,4
40497,Yannick Boli,4,436,,
40798,Gregory van der Wiel,2,2077,,
41004,Larrys Mabiala,2,1581,,
41210,Luis Robles,1,399,242,1
41393,Jahmir Hyka,3,1131,547,3
41487,Brad Evans,2,421,397,2
41492,Marc Burch,2,6977,28,2
41493,Kei Kamara,4,1708,218,4
41535,Yura Movsisyan,4,1899,365,4
