adjusted points,att bps,cost,def bps,event id,ga,gd,gf,home,mins,opponent,pas bps,player id,player name,points,position id,round,season,team id
8.0,1.0,,2.0,7.0,,,,1.0,90.0,SEA,0.0,137.0,Alexandre Monteiro De Lima,8.0,3.0,1.0,2017.0,
4.0,0.0,,1.0,7.0,,,,1.0,85.0,SEA,1.0,138.0,Eric Alexander,4.0,3.0,1.0,2017.0,
3.0,0.0,,1.0,7.0,,,,1.0,70.0,SEA,0.0,141.0,Ricardo Clark,3.0,3.0,1.0,2017.0,
3.0,1.0,,0.0,7.0,,,,1.0,73.0,SEA,0.0,145.0,Alberth Elis,3.0,4.0,1.0,2017.0,
10.0,2.0,,1.0,7.0,,,,1.0,90.0,SEA,0.0,147.0,Romell Quioto,10.0,4.0,1.0,2017.0,
7.0,1.0,,0.0,7.0,,,,1.0,90.0,SEA,0.0,148.0,Erick Torres,7.0,4.0,1.0,2017.0,
4.0,0.0,,2.0,9.0,,,,0.0,90.0,SJ,0.0,150.0,Evan Bush,4.0,1.0,1.0,2017.0,
2.0,0.0,,0.0,9.0,,,,0.0,65.0,SJ,0.0,154.0,Hassoun Camara,-1.0,2.0,1.0,2017.0,
7.0,0.0,,5.0,9.0,,,,0.0,90.0,SJ,0.0,155.0,Laurent Ciman,7.0,2.0,1.0,2017.0,
2.0,0.0,,1.0,9.0,,,,0.0,90.0,SJ,0.0,156.0,Chris Duvall,2.0,2.0,1.0,2017.0,
3.0,0.0,,1.0,9.0,,,,0.0,90.0,SJ,0.0,159.0,Ambroise Oyongo,3.0,2.0,1.0,2017.0,
2.0,0.0,,0.0,9.0,,,,0.0,82.0,SJ,0.0,161.0,Hernan Bernardello,2.0,3.0,1.0,2017.0,
3.0,0.0,,1.0,9.0,,,,0.0,73.0,SJ,0.0,162.0,Patrice Bernier,3.0,3.0,1.0,2017.0,
2.0,0.0,,0.0,9.0,,,,0.0,90.0,SJ,0.0,164.0,Marco Donadel,2.0,3.0,1.0,2017.0,
3.0,1.0,,0.0,9.0,,,,0.0,90.0,SJ,0.0,166.0,Ignacio Piatti,3.0,3.0,1.0,2017.0,
1.0,0.0,,0.0,9.0,,,,0.0,90.0,SJ,0.0,172.0,Matteo Mancosu,1.0,4.0,1.0,2017.0,
2.0,0.0,,0.0,9.0,,,,0.0,62.0,SJ,0.0,173.0,Dominic Oduro,2.0,4.0,1.0,2017.0,
3.0,0.0,,2.0,3.0,,,,1.0,90.0,DAL,0.0,177.0,Brian Rowe,3.0,1.0,1.0,2017.0,
5.0,2.0,,2.0,3.0,,,,1.0,90.0,DAL,0.0,181.0,Dave Romney,5.0,2.0,1.0,2017.0,
4.0,0.0,,1.0,3.0,,,,1.0,90.0,DAL,2.0,182.0,Daniel Steres,4.0,2.0,1.0,2017.0,
3.0,0.0,,2.0,3.0,,,,1.0,90.0,DAL,0.0,183.0,Jelle Van Damme,3.0,2.0,1.0,2017.0,
4.0,0.0,,1.0,3.0,,,,1.0,70.0,DAL,1.0,184.0,Rafael Garcia,4.0,3.0,1.0,2017.0,
4.0,0.0,,2.0,3.0,,,,1.0,90.0,DAL,1.0,186.0,Joao Pedro Almeida Machado,4.0,3.0,1.0,2017.0,
4.0,1.0,,2.0,3.0,,,,1.0,90.0,DAL,0.0,187.0,Jermaine Jones,4.0,3.0,1.0,2017.0,
3.0,0.0,,1.0,3.0,,,,1.0,90.0,DAL,0.0,188.0,Sebastian Lletget,3.0,3.0,1.0,2017.0,
10.0,2.0,,0.0,3.0,,,,1.0,90.0,DAL,1.0,191.0,Giovani dos Santos,10.0,4.0,1.0,2017.0,
2.0,0.0,,0.0,3.0,,,,1.0,77.0,DAL,0.0,194.0,Jack McBean,2.0,4.0,1.0,2017.0,
4.0,1.0,,1.0,3.0,,,,1.0,85.0,DAL,0.0,197.0,Romain Alessandrini,4.0,3.0,1.0,2017.0,
3.0,0.0,,1.0,1.0,,,,0.0,90.0,COL,0.0,198.0,Cody Cropper,3.0,1.0,1.0,2017.0,
3.0,0.0,,1.0,1.0,,,,0.0,90.0,COL,0.0,202.0,Andrew Farrell,3.0,2.0,1.0,2017.0,
1.0,0.0,,0.0,1.0,,,,0.0,73.0,COL,0.0,204.0,Chris Tierney,1.0,2.0,1.0,2017.0,
3.0,0.0,,1.0,1.0,,,,0.0,90.0,COL,0.0,207.0,Benjamin Angoua,3.0,2.0,1.0,2017.0,
3.0,0.0,,1.0,1.0,,,,0.0,90.0,COL,0.0,208.0,Antonio Mlinar Delamea,3.0,2.0,1.0,2017.0,
5.0,0.0,,2.0,1.0,,,,0.0,90.0,COL,1.0,210.0,Scott Caldwell,5.0,3.0,1.0,2017.0,
2.0,0.0,,0.0,1.0,,,,0.0,90.0,COL,0.0,211.0,Diego Fagundez,2.0,3.0,1.0,2017.0,
1.0,0.0,,0.0,1.0,,,,0.0,56.0,COL,0.0,215.0,Lee Nguyen,1.0,3.0,1.0,2017.0,
3.0,0.0,,1.0,1.0,,,,0.0,90.0,COL,0.0,216.0,Kelyn Rowe,3.0,3.0,1.0,2017.0,
3.0,0.0,,1.0,1.0,,,,0.0,82.0,COL,0.0,217.0,Juan Agudelo,3.0,4.0,1.0,2017.0,
2.0,1.0,,0.0,1.0,,,,0.0,90.0,COL,0.0,218.0,Kei Kamara,2.0,4.0,1.0,2017.0,
4.0,0.0,,2.0,8.0,,,,0.0,90.0,ORL,0.0,221.0,Sean Johnson,4.0,1.0,1.0,2017.0,
4.0,0.0,,1.0,8.0,,,,0.0,76.0,ORL,1.0,223.0,RJ Allen,4.0,2.0,1.0,2017.0,
3.0,0.0,,1.0,8.0,,,,0.0,90.0,ORL,0.0,225.0,Maxime Chanot,3.0,2.0,1.0,2017.0,
2.0,0.0,,0.0,8.0,,,,0.0,90.0,ORL,0.0,227.0,Ronald Matarrita,2.0,2.0,1.0,2017.0,
4.0,0.0,,0.0,8.0,,,,0.0,90.0,ORL,2.0,229.0,Alexander Callens,4.0,2.0,1.0,2017.0,
3.0,0.0,,1.0,8.0,,,,0.0,90.0,ORL,0.0,232.0,Jack Harrison,3.0,3.0,1.0,2017.0,
4.0,2.0,,0.0,8.0,,,,0.0,90.0,ORL,0.0,235.0,Andrea Pirlo,4.0,3.0,1.0,2017.0,
6.0,4.0,,0.0,8.0,,,,0.0,90.0,ORL,0.0,239.0,David Villa,6.0,4.0,1.0,2017.0,
2.0,0.0,,1.0,8.0,,,,0.0,83.0,ORL,0.0,240.0,Alexander Ring,2.0,3.0,1.0,2017.0,
4.0,0.0,,2.0,10.0,,,,0.0,90.0,ATL,0.0,242.0,Luis Robles,4.0,1.0,1.0,2017.0,
3.0,1.0,,0.0,10.0,,,,0.0,90.0,ATL,0.0,250.0,Kemar Lawrence,3.0,2.0,1.0,2017.0,
