2017 player id,player name,2017 position id
1,Jorge Rodrigo Bava,1
2,Matt Lampson,1
3,Jonathan Campbell,2
4,Patrick Doody,2
5,Michael Harrington,2
6,Johan Kappelhof,2
7,Joao Meira,2
8,Brandon Vincent,2
9,Arturo Alvarez,3
10,Drew Conner,3
11,Collin Fernandez,3
12,John Goossens,3
13,Vitor Gomes Pereira Junior,3
14,Dax McCarty,3
15,Matt Polster,3
16,Djordje Mihailovic,3
17,David Accam,4
18,David Arshakyan,4
19,Joey Calistri,4
20,Michael de Leeuw,4
21,Nemanja Nikolic,4
22,Luis Solignac,4
23,Daniel Johnson,3
24,Stefan Cleveland,1
25,John Berner,1
26,Tim Howard,1
27,Zac MacMath,1
28,Marc Burch,2
29,Bobby Burling,2
30,Dennis Castillo,2
31,Kortne Ford,2
32,Eric Miller,2
33,Axel Sjoberg,2
34,Jared Watts,2
35,Mekeil Williams,2
36,Michael Azira,3
37,Sam Cronin,3
38,Marlon Hairston,3
39,Ricardo Perez,3
40,Dillon Powers,3
41,Dillon Serna,3
42,Bismark Adjei-Boateng,3
43,Dominique Badji,4
44,Caleb Calvert,4
45,Shkelzen Gashi,4
46,Alan Gordon,4
47,Kevin Doyle,4
48,Zack Steffen,1
49,Brad Stuver,1
50,Lalas Abubakar,2
51,Harrison Afful,2
52,Alex Crognale,2
53,Waylon Francis,2
54,Jonathan Mensah,2
55,Nicolai Naess,2
56,Jukka Raitala,2
57,Gaston Sauro,2
58,Josh Williams,2
59,Mohammed Abu,3
60,Dilly Duka,3
61,Ethan Finlay,3
62,Niko Hansen,3
63,Federico Higuain,3
64,Marshall Hollingsworth,3
65,Hector Jimenez,3
66,Cristian Martinez,3
67,Justin Meram,3
68,Rodrigo Saravia,3
69,Ben Swanson,3
70,Tony Tchani,3
71,Will Trapp,3
72,Abuchi Obinwa,3
73,Adam Jahn,4
74,Ola Kamara,4
75,Bill Hamid,1
76,Charlie Horton,1
77,Eric Klenofsky,1
78,Travis Worra,1
79,Steve Birnbaum,2
80,Bobby Boswell,2
81,Sean Franklin,2
82,Taylor Kemp,2
83,Chris Odoi-Atsem,2
84,Kofi Opare,2
85,Jalen Robinson,2
86,Luciano Acosta,3
87,Julian Buescher,3
88,Nick DeLeon,3
89,Christopher Durkin,3
90,Ian Harkes,3
91,Jared Jeffrey,3
92,Lamar Neagle,3
93,Patrick Nyarko,3
94,Chris Rolfe,3
95,Lloyd Sam,3
96,Marcelo Sarvas,3
97,Rob Vincent,3
98,Sebastien Le Toux,3
99,Alhaji Kamara,4
100,Patrick Mullins,4
101,Jose Guillermo Ortiz,4
102,Jesse Gonzalez,1
103,Chris Seitz,1
104,Reggie Cannon,2
105,Anibal Chala,2
106,Maynor Figueroa,2
107,Aaron Guillen,2
108,Atiba Harris,2
109,Matt Hedges,2
110,Walker Zimmerman,2
111,Kellyn Acosta,3
112,Michael Barrios,3
113,Coy Craft,3
114,Mauro Diaz,3
115,Carlos Gruezo,3
116,Jacori Hayes,3
117,Ryan Hollingshead,3
118,Roland Lamah,3
119,Javier Morales,3
120,Paxton Pomykal,3
121,Victor Ulloa,3
122,Tesho Akindele,4
123,Jesus Ferreira,4
124,Bryan Reynolds,4
125,Maximiliano Urruti,4
126,Cristian Colman,4
127,Adonijah Reid,4
128,Calle Brown,1
129,Tyler Deric,1
130,Joe Willis,1
131,Agustin Garcia,2
132,Jalil Anibaba,2
133,AJ DeLaGarza,2
134,Jose Leonardo Ribeiro da Silva,2
135,Adolfo Machado,2
136,Dylan Remick,2
137,Alexandre Monteiro De Lima,3
138,Eric Alexander,3
139,Juan David Cabezas,3
140,Boniek Garcia,3
141,Ricardo Clark,3
142,Jose Escalante,3
143,Christian Lucatero,3
144,Andrew Wenger,3
145,Alberth Elis,4
146,Mauro Manotas,4
147,Romell Quioto,4
148,Erick Torres,4
149,Vicente Sanchez,4
150,Evan Bush,1
151,Maxime Crepeau,1
152,Eric Kronberg,1
153,Victor Cabrera,2
154,Hassoun Camara,2
155,Laurent Ciman,2
156,Chris Duvall,2
157,Kyle Fisher,2
158,Wandrille Lefevre,2
159,Ambroise Oyongo,2
160,Louis Beland-Goyette,3
161,Hernan Bernardello,3
162,Patrice Bernier,3
163,David Choiniere,3
164,Marco Donadel,3
165,Calum Mallace,3
166,Ignacio Piatti,3
167,Andres Romero,3
168,Shamit Shome,3
169,Ballou Jean-Yves Tabla,3
170,Nick DePuy,4
171,Anthony Jackson-Hamel,4
172,Matteo Mancosu,4
173,Dominic Oduro,4
174,Michael Salazar,4
175,Clement Diop,1
176,Dan Kennedy,1
177,Brian Rowe,1
178,Hugo Arellano,2
179,Ashley Cole,2
180,Robbie Rogers,2
181,Dave Romney,2
182,Daniel Steres,2
183,Jelle Van Damme,2
184,Rafael Garcia,3
185,Baggio Husidic,3
186,Joao Pedro Almeida Machado,3
187,Jermaine Jones,3
188,Sebastian Lletget,3
189,Jose Villarreal,3
190,Emmanuel Boateng,4
191,Giovani dos Santos,4
192,Bradford Jamieson IV,4
193,Ariel Lassiter,4
194,Jack McBean,4
195,Raul Mendiola,4
196,Gyasi Zardes,4
197,Romain Alessandrini,3
198,Cody Cropper,1
199,Brad Knighton,1
200,Bobby Shuttleworth,1
201,Matt Turner,1
202,Andrew Farrell,2
203,Donald Smith,2
204,Chris Tierney,2
205,Je-Vaughn Watson,2
206,London Woodberry,2
207,Benjamin Angoua,2
208,Antonio Mlinar Delamea,2
209,Teal Bunbury,3
210,Scott Caldwell,3
211,Diego Fagundez,3
212,Zachary Herivaux,3
213,Daigo Kobayashi,3
214,Xavier Kouassi,3
215,Lee Nguyen,3
216,Kelyn Rowe,3
217,Juan Agudelo,4
218,Kei Kamara,4
219,Brian Wright,4
220,Eirik Johansen,1
221,Sean Johnson,1
222,Andre Rawls,1
223,RJ Allen,2
224,Frederic Brillant,2
225,Maxime Chanot,2
226,Shannon Gomez,2
227,Ronald Matarrita,2
228,Ethan White,2
229,Alexander Callens,2
230,Miguel Camargo,3
231,Mix Diskerud,3
232,Jack Harrison,3
233,Mikey Lopez,3
234,Thomas McNamara,3
235,Andrea Pirlo,3
236,Jonathan Lewis,4
237,Sean Okoli,4
238,Khiry Shelton,4
239,David Villa,4
240,Alexander Ring,3
241,Ryan Meara,1
242,Luis Robles,1
243,Rafael Diaz,1
