index,cost,event id,home,player name,round,season,DGW,opp last 5 gf,opp last 5 ga,opp last 3 h adj gf,opp last 3 h adj ga,team id,last 3 adjusted points avg,last 5 adjusted points avg,last 5 adjusted points max,last 5 adjusted points min,last 5 adjusted points std dev,last 3 h adj adjusted points avg,last 5 att bps avg,last 5 def bps avg,last 5 pas bps avg,opp last 8 adjusted points conceded by cluster,opp last 5 adjusted points conceded by position,opp last 8 adjusted points conceded by position,position id_1.0,position id_2.0,position id_3.0,position id_4.0,opponent_ATL,opponent_CHI,opponent_CLB,opponent_COL,opponent_DAL,opponent_DC,opponent_HOU,opponent_LA,opponent_LAFC,opponent_MIN,opponent_MTL,opponent_NE,opponent_NY,opponent_NYC,opponent_ORL,opponent_PHI,opponent_POR,opponent_RSL,opponent_SEA,opponent_SJ,opponent_SKC,opponent_TOR,opponent_VAN,cluster_0.0,cluster_3.0,cluster_4.0,cluster_5.0,cluster_6.0,cluster_7.0,cluster_8.0,cluster_9.0,cluster_10.0,cluster_11.0,cluster_12.0,cluster_13.0,cluster_14.0,cluster_15.0,cluster_16.0,cluster_17.0,cluster_18.0,cluster_19.0,cluster_20.0,cluster_21.0,cluster_22.0,cluster_23.0,cluster_24.0,cluster_25.0,loo avg points season,loo avg points
16164,7.2,968590.0,1.0,Ashley Cole,31.0,2018.0,0,1.8,1.8,2.3333333333333335,1.6666666666666667,1230,5.666666666666667,4.8,9.0,3.0,2.3874672772626626,7.0,0.4,1.2,0.4,2.25,4.2,4.375,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.509090909090909,4.888888888888889
16165,13.1,968590.0,1.0,Zlatan Ibrahimovic,31.0,2018.0,0,1.8,1.8,2.3333333333333335,1.6666666666666667,1230,8.0,7.0,11.0,3.0,2.915475947422654,7.333333333333333,1.2,0.0,0.0,10.5,6.2,5.375,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.1,9.1
16166,5.2,968590.0,1.0,Michael Ciani,31.0,2018.0,0,1.8,1.8,2.3333333333333335,1.6666666666666667,1230,3.0,3.0,6.0,1.0,1.8708286933869713,4.0,0.0,1.4,0.0,4.625,4.2,4.375,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.769230769230769,4.904761904761905
16167,7.8,968590.0,1.0,Giovani dos Santos,31.0,2018.0,0,1.8,1.8,2.3333333333333335,1.6666666666666667,1230,6.0,4.8,14.0,1.0,5.21536192416212,5.666666666666667,1.0,0.0,0.6,4.5,6.2,5.375,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.638888888888889,4.636363636363637
16168,4.6,968590.0,1.0,Rolf Feltscher,31.0,2018.0,0,1.8,1.8,2.3333333333333335,1.6666666666666667,1230,3.3333333333333335,2.4,6.0,-2.0,3.5777087639996634,3.6666666666666665,0.0,0.2,0.2,2.25,4.2,4.375,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8333333333333335,3.8333333333333335
16169,8.5,968590.0,1.0,Ola Kamara,31.0,2018.0,0,1.8,1.8,2.3333333333333335,1.6666666666666667,1230,6.333333333333333,5.4,9.0,2.0,2.8809720581775866,6.666666666666667,0.6,0.2,0.0,4.5,6.2,5.375,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.583333333333333,5.2592592592592595
16170,4.5,968590.0,1.0,Baggio Husidic,31.0,2018.0,0,1.8,1.8,2.3333333333333335,1.6666666666666667,1230,2.6666666666666665,3.4,5.0,1.0,1.816590212458495,2.3333333333333335,0.0,1.2,0.4,2.8333333333333335,5.0,4.875,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.3333333333333335,1.5
16171,6.4,968590.0,1.0,Chris Pontius,31.0,2018.0,0,1.8,1.8,2.3333333333333335,1.6666666666666667,1230,5.0,4.0,10.0,1.0,3.535533905932738,5.0,0.4,0.6,0.2,7.625,5.0,4.875,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.326086956521739,5.0
16172,4.0,968590.0,1.0,Jorgen Skjelvik,31.0,2018.0,0,1.8,1.8,2.3333333333333335,1.6666666666666667,1230,0.6666666666666666,1.4,4.0,0.0,1.6733200530681551,2.0,0.2,1.2,0.0,5.125,4.2,4.375,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9,3.9
16173,11.0,968590.0,1.0,Jonathan dos Santos,31.0,2018.0,0,1.8,1.8,2.3333333333333335,1.6666666666666667,1230,11.0,9.2,13.0,4.0,3.8987177379235884,8.333333333333334,1.2,1.6,1.0,5.125,5.0,4.875,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.172413793103448,7.055555555555555
16175,11.7,968590.0,1.0,Romain Alessandrini,31.0,2018.0,0,1.8,1.8,2.3333333333333335,1.6666666666666667,1230,8.333333333333334,8.4,12.0,4.0,2.8809720581775897,6.666666666666667,1.6,0.6,0.0,6.625,5.0,4.875,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.297872340425532,6.368421052631579
16176,7.6,968590.0,1.0,Sebastian Lletget,31.0,2018.0,0,1.8,1.8,2.3333333333333335,1.6666666666666667,1230,4.333333333333333,5.8,8.0,3.0,2.2803508501982765,6.0,0.8,0.2,0.8,4.625,5.0,4.875,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.454545454545454,4.578947368421052
16177,4.8,968590.0,1.0,David Bingham,31.0,2018.0,0,1.8,1.8,2.3333333333333335,1.6666666666666667,1230,3.6666666666666665,3.4,8.0,1.0,3.049590136395382,5.0,0.0,1.8,0.0,2.25,2.2,2.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.518518518518518,4.387096774193548
16178,4.0,968590.0,1.0,Servando Carrasco,31.0,2018.0,0,1.8,1.8,2.3333333333333335,1.6666666666666667,1230,2.6666666666666665,1.8,5.0,0.0,1.9235384061671341,3.0,0.0,0.6,0.0,4.625,5.0,4.875,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.3043478260869565,3.75
16179,5.0,968590.0,1.0,Perry Kitchen,31.0,2018.0,0,1.8,1.8,2.3333333333333335,1.6666666666666667,1230,2.3333333333333335,3.0,4.0,1.0,1.4142135623730951,3.0,0.0,0.6,0.6,3.875,5.0,4.875,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.7142857142857144,3.7142857142857144
16181,4.0,968590.0,1.0,Daniel Steres,31.0,2018.0,0,1.8,1.8,2.3333333333333335,1.6666666666666667,1230,3.6666666666666665,2.4,8.0,0.0,3.20936130717624,3.0,0.0,0.8,0.2,4.625,4.2,4.375,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.875,4.25
16182,4.5,968590.0,1.0,Joao Pedro Almeida Machado,31.0,2018.0,0,1.8,1.8,2.3333333333333335,1.6666666666666667,1230,2.6666666666666665,3.4,5.0,1.0,1.5165750888103111,4.333333333333333,0.2,1.0,0.2,2.8333333333333335,5.0,4.875,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.4814814814814814,3.0
16183,4.0,968590.0,1.0,Emmanuel Boateng,31.0,2018.0,0,1.8,1.8,2.3333333333333335,1.6666666666666667,1230,5.666666666666667,5.2,8.0,2.0,2.5884358211089555,5.666666666666667,0.8,0.0,0.0,7.625,5.0,4.875,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5526315789473686,5.0
