2018_player_id,player_name,2018_position_id,team_id
3785,Ashley Cole,2,1230
8859,Marco Donadel,3,1616
12780,Tyrone Mears,2,6977
12875,DaMarcus Beasley,2,1897
13356,Rod Fanni,2,1616
14278,Liam Ridgewell,2,1581
15208,Bastian Schweinsteiger,3,1207
15310,Nick Rimando,1,1899
15337,Tim Howard,1,436
15517,Kyle Beckerman,3,1899
16854,Philippe Senderos,2,1897
17279,David Villa,4,9668
18005,Jonathan Spector,2,6900
18529,Reto Ziegler,2,1903
18681,Roland Lamah,3,1903
18770,Bradley Wright-Phillips,4,399
19825,Ibson Barreto da Silva,3,6977
20226,Clint Dempsey,4,3500
20491,Chris McCann,3,11091
20525,Benny Feilhaber,3,11690
20962,Zoltan Stieber,3,1326
22820,Milton Valenzuela,2,454
27058,Francois Affolter,2,1131
27678,Scott Sutter,2,6900
28188,Haris Medunjanin,3,5513
28580,Lee Nguyen,3,928
33808,Chad Marshall,2,3500
33823,Ricardo Clark,3,454
33900,Cristian Casseres Jr.,3,399
34160,Roman Torres,2,3500
34285,Maynor Figueroa,2,1903
34361,Roy Miller,2,1581
37368,Michael Bradley,3,2077
37740,Michael Ciani,2,1230
37996,Ignacio Piatti,3,1616
38099,Stefan Aigner,3,436
38401,Carlos Vela,4,11690
39226,Marcel de Jong,2,1708
39276,Will Johnson,3,6900
39976,Jay Simpson,4,5513
40275,Giovani dos Santos,4,1230
40283,Sebastian Giovinco,4,2077
40497,Yannick Boli,4,436
40798,Gregory van der Wiel,2,2077
41004,Larrys Mabiala,2,1581
41210,Luis Robles,1,399
41393,Jahmir Hyka,3,1131
41487,Brad Evans,2,421
41492,Marc Burch,2,6977
41493,Kei Kamara,4,1708
41535,Yura Movsisyan,4,1899
41551,Jeff Larentowicz,3,11091
41552,Michael Parkhurst,2,11091
41556,Brad Knighton,1,928
41574,Jozy Altidore,4,2077
41599,Jordan Harvey,2,11690
41605,Jacob Peterson,4,11091
41625,Arturo Alvarez,3,1897
41626,Dax McCarty,3,1207
41627,Drew Moor,2,2077
41633,Dominic Oduro,4,1616
41647,Chris Wondolowski,4,1131
41667,Alan Gordon,4,1207
41679,Chris Seitz,1,1897
41703,Sacha Kljestan,3,6900
41705,Brad Guzan,1,11091
41921,Shkelzen Gashi,3,436
42453,Johnny Russell,3,421
42512,Krisztian Nemeth,3,928
42584,Laurent Ciman,2,11690
43684,Sunday Stephen,3,1899
44871,Rolf Feltscher,2,1230
45099,Tommy Smith,2,436
45120,Ilson Pereira,3,5513
45122,Sal Zizzo,2,11091
45269,Claude Dielna,2,928
45959,Aurelien Collin,2,399
47627,Demar Phillips,2,1899
47681,Federico Higuain,3,454
48759,Simon Dawkins,3,1131
49438,Jordon Mutch,3,1708
49483,Harrison Afful,2,454
49841,Victor Vazquez,3,2077
49876,Vadim Demidov,2,6977
50051,Caleb Patterson-Sewell,1,2077
50067,Brek Shea,2,1708
50081,Shea Salinas,2,1131
50102,Chance Myers,2,1581
50105,Roger Espinoza,3,421
50122,Sean Franklin,2,1708
50136,Tony Beltran,2,1899
50143,David Horst,2,1899
51133,Chris Tierney,2,928
51774,Gustav Svensson,3,3500
51937,Florian Jungwirth,3,1131
52629,David Ousted,1,1326
53477,Edgar Castillo,2,436
53526,Efrain Juarez,3,1708
54862,Vytautas Andriuskevicius,2,1581
54916,Jared Jeffrey,3,1326
54980,Danny Hoesen,3,1131
55209,Boniek Garcia,3,1897
55758,Ola Kamara,4,1230
55817,Diego Valeri,3,1581
55820,Sebastian Blanco,3,1581
55831,Maximiliano Moralez,3,9668
56812,Felipe Martins,3,1708
56949,Mauro Diaz,3,1903
57876,Maxime Chanot,2,9668
58634,Kelvin Leerdam,2,3500
59059,Alfredo Ortuno,4,1899
59848,Mike Grella,3,454
60032,Jerome Thiesson,2,6977
60132,Baggio Husidic,3,1230
60152,Chris Pontius,3,1230
60153,Rodney Wallace,3,9668
60207,Matt Besler,2,421
60210,Graham Zusi,2,421
