adjusted_points,aps,ass,att_bps,att_points,bc,blk,br,cl,crs,cs,def_bps,def_points,elg,event_id,gc,gls,home,intc,kp,mins,og,oga,opponent,pas_bps,pcp,pe,player_id,player_name,pm,points,position_id,ps,pss,rc,round,season,sh,sv,tck,team,total_bps,wf,yc,count
1,4,0,0,0,0,0,4,0,0,0,0,0,0,968350,2,0,2,0,0,53,0,0,ATL,0,0.18181818181818182,0,442453,,0,1,,0,22,0,11,2018,0,1,0,SKC,0,0,0,1
6,4,0,0,0,0,0,1,2,0,1,0,5,0,968445,0,0,2,0,0,25,0,0,HOU,0,0.6666666666666666,0,18005,Jonathan Spector,0,6,2.0,0,6,0,19,2018,0,0,1,MIN,0,0,0,1
4,77,0,0,0,0,0,5,0,0,0,0,0,0,968445,1,0,2,1,1,90,0,0,HOU,2,0.8850574712643678,0,20525,Benny Feilhaber,0,4,3.0,0,87,0,19,2018,0,0,1,MIN,2,2,0,1
5,73,0,0,0,0,0,6,0,0,0,1,1,0,968445,1,0,2,1,0,90,0,0,HOU,2,0.948051948051948,0,28580,Lee Nguyen,0,5,3.0,0,77,0,19,2018,0,0,2,MIN,3,1,0,1
2,20,0,1,1,0,0,3,0,2,1,0,0,0,968445,0,0,2,0,3,26,0,0,HOU,0,0.8695652173913043,0,38401,Carlos Vela,0,2,4.0,0,23,0,19,2018,1,0,0,MIN,1,1,0,1
3,45,0,0,0,0,0,2,3,0,0,0,0,0,968445,1,0,2,2,1,90,0,0,HOU,1,0.9183673469387755,0,41599,Jordan Harvey,0,3,2.0,0,49,0,19,2018,0,0,0,MIN,1,0,0,1
7,34,0,0,5,0,0,3,0,0,0,0,0,0,968445,4,1,2,0,2,90,0,0,HOU,0,0.7555555555555555,0,41703,Sacha Kljestan,0,7,3.0,0,45,0,19,2018,2,0,1,MIN,0,0,0,1
3,58,0,0,0,0,0,6,0,0,0,1,1,0,968445,1,0,2,1,1,90,0,0,HOU,1,0.9206349206349206,0,42584,Laurent Ciman,0,3,2.0,0,63,0,19,2018,1,0,1,MIN,2,0,1,1
2,9,0,0,0,0,0,3,1,0,0,0,0,0,968445,4,0,2,0,1,90,0,0,HOU,0,0.9,0,60318,Dom Dwyer,0,2,4.0,0,10,0,19,2018,3,0,0,MIN,0,3,0,1
1,4,0,0,0,0,0,0,0,0,1,0,0,0,968445,0,0,2,0,0,5,0,0,HOU,0,0.8,0,77755,Marco Urena,0,1,4.0,0,5,0,19,2018,0,0,0,MIN,0,0,0,1
3,55,0,0,0,0,1,3,3,1,0,0,0,0,968445,1,0,2,3,1,90,0,0,HOU,1,0.9016393442622951,0,82845,Steven Beitashour,0,3,2.0,0,61,0,19,2018,0,0,2,MIN,1,0,0,1
0,10,0,0,0,0,0,2,0,0,0,0,-2,0,968445,4,0,2,2,0,65,0,0,HOU,0,0.8333333333333334,0,83378,Chris Schuler,0,0,2.0,0,12,0,19,2018,0,0,1,MIN,0,1,0,1
4,14,0,0,0,0,0,9,0,0,0,4,2,0,968445,4,0,2,0,0,90,0,0,HOU,0,0.5384615384615384,0,95611,Joe Bendik,0,4,1.0,0,26,0,19,2018,0,9,0,MIN,4,0,0,1
