event_id,home,opp_adjusted_points,opp_aps,opp_ass,opp_att_bps,opp_att_points,opp_bc,opp_blk,opp_br,opp_cl,opp_crs,opp_def_bps,opp_def_points,opp_elg,opp_gls,opp_intc,opp_kp,opp_og,opp_oga,opp_pas_bps,opp_pcp,opp_pe,opp_pm,opp_ps,opp_pss,opp_rc,opp_sh,opp_sv,opp_tck,opp_total_bps,opp_wf,opp_yc,opponent,round,season,team,team_adjusted_points,team_aps,team_ass,team_att_bps,team_att_points,team_bc,team_blk,team_br,team_cl,team_crs,team_def_bps,team_def_points,team_elg,team_gls,team_intc,team_kp,team_og,team_oga,team_pas_bps,team_pcp,team_pe,team_pm,team_ps,team_pss,team_rc,team_sh,team_sv,team_tck,team_total_bps,team_wf,team_yc
1,1,32.0,360.0,0.0,1.0,1.0,0.0,1.0,49.0,20.0,2.0,8.0,8.0,0.0,0.0,9.0,8.0,0.0,0.0,1.0,0.8053691275167785,0.0,0.0,0.0,447.0,0.0,9.0,1.0,17.0,10.0,11.0,2.0,NE,1,2017,COL,78.0,362.0,1.0,3.0,11.0,1.0,0.0,59.0,29.0,7.0,12.0,41.0,0.0,1.0,13.0,6.0,0.0,0.0,4.0,0.8190045248868778,0.0,0.0,0.0,442.0,0.0,8.0,3.0,14.0,19.0,9.0,3.0
1,0,78.0,362.0,1.0,3.0,11.0,1.0,0.0,59.0,29.0,7.0,12.0,41.0,0.0,1.0,13.0,6.0,0.0,0.0,4.0,0.8190045248868778,0.0,0.0,0.0,442.0,0.0,8.0,3.0,14.0,19.0,9.0,3.0,COL,1,2017,NE,32.0,360.0,0.0,1.0,1.0,0.0,1.0,49.0,20.0,2.0,8.0,8.0,0.0,0.0,9.0,8.0,0.0,0.0,1.0,0.8053691275167785,0.0,0.0,0.0,447.0,0.0,9.0,1.0,17.0,10.0,11.0,2.0
2,0,48.0,454.0,1.0,5.0,13.0,3.0,2.0,66.0,14.0,8.0,8.0,8.0,0.0,1.0,7.0,9.0,0.0,0.0,4.0,0.8407407407407408,0.0,0.0,0.0,540.0,0.0,10.0,2.0,22.0,17.0,6.0,1.0,CLB,1,2017,CHI,50.0,373.0,0.0,2.0,7.0,0.0,1.0,67.0,32.0,3.0,16.0,16.0,0.0,1.0,15.0,7.0,0.0,0.0,3.0,0.8215859030837004,0.0,0.0,0.0,454.0,0.0,12.0,3.0,18.0,21.0,15.0,1.0
2,1,50.0,373.0,0.0,2.0,7.0,0.0,1.0,67.0,32.0,3.0,16.0,16.0,0.0,1.0,15.0,7.0,0.0,0.0,3.0,0.8215859030837004,0.0,0.0,0.0,454.0,0.0,12.0,3.0,18.0,21.0,15.0,1.0,CHI,1,2017,CLB,48.0,454.0,1.0,5.0,13.0,3.0,2.0,66.0,14.0,8.0,8.0,8.0,0.0,1.0,7.0,9.0,0.0,0.0,4.0,0.8407407407407408,0.0,0.0,0.0,540.0,0.0,10.0,2.0,22.0,17.0,6.0,1.0
3,0,49.0,457.0,0.0,6.0,11.0,1.0,3.0,64.0,23.0,3.0,14.0,10.0,0.0,1.0,13.0,11.0,0.0,0.0,5.0,0.836996336996337,1.0,0.0,0.0,546.0,0.0,13.0,0.0,29.0,25.0,10.0,2.0,LA,1,2017,DAL,48.0,203.0,1.0,1.0,14.0,0.0,3.0,56.0,27.0,1.0,10.0,10.0,0.0,2.0,11.0,6.0,0.0,0.0,1.0,0.7355072463768116,0.0,0.0,0.0,276.0,0.0,10.0,1.0,20.0,12.0,9.0,2.0
3,1,48.0,203.0,1.0,1.0,14.0,0.0,3.0,56.0,27.0,1.0,10.0,10.0,0.0,2.0,11.0,6.0,0.0,0.0,1.0,0.7355072463768116,0.0,0.0,0.0,276.0,0.0,10.0,1.0,20.0,12.0,9.0,2.0,DAL,1,2017,LA,49.0,457.0,0.0,6.0,11.0,1.0,3.0,64.0,23.0,3.0,14.0,10.0,0.0,1.0,13.0,11.0,0.0,0.0,5.0,0.836996336996337,1.0,0.0,0.0,546.0,0.0,13.0,0.0,29.0,25.0,10.0,2.0
4,0,86.0,372.0,4.0,8.0,45.0,1.0,2.0,72.0,24.0,6.0,13.0,14.0,0.0,5.0,18.0,9.0,0.0,0.0,4.0,0.8230088495575221,1.0,0.0,0.0,452.0,0.0,13.0,1.0,19.0,25.0,12.0,1.0,POR,1,2017,MIN,37.0,417.0,1.0,2.0,10.0,0.0,4.0,64.0,15.0,6.0,10.0,0.0,0.0,1.0,20.0,11.0,0.0,0.0,4.0,0.8097087378640777,0.0,0.0,0.0,515.0,0.0,11.0,1.0,7.0,16.0,8.0,1.0
4,1,37.0,417.0,1.0,2.0,10.0,0.0,4.0,64.0,15.0,6.0,10.0,0.0,0.0,1.0,20.0,11.0,0.0,0.0,4.0,0.8097087378640777,0.0,0.0,0.0,515.0,0.0,11.0,1.0,7.0,16.0,8.0,1.0,MIN,1,2017,POR,86.0,372.0,4.0,8.0,45.0,1.0,2.0,72.0,24.0,6.0,13.0,14.0,0.0,5.0,18.0,9.0,0.0,0.0,4.0,0.8230088495575221,1.0,0.0,0.0,452.0,0.0,13.0,1.0,19.0,25.0,12.0,1.0
5,1,74.0,272.0,0.0,4.0,4.0,0.0,6.0,82.0,29.0,2.0,17.0,50.0,0.0,0.0,10.0,6.0,0.0,0.0,0.0,0.7214854111405835,1.0,1.0,0.0,377.0,0.0,8.0,3.0,13.0,21.0,17.0,4.0,TOR,1,2017,RSL,69.0,248.0,0.0,5.0,5.0,1.0,1.0,86.0,11.0,4.0,12.0,41.0,0.0,0.0,13.0,15.0,0.0,0.0,1.0,0.6613333333333333,0.0,0.0,1.0,375.0,0.0,17.0,3.0,25.0,18.0,14.0,3.0
5,0,69.0,248.0,0.0,5.0,5.0,1.0,1.0,86.0,11.0,4.0,12.0,41.0,0.0,0.0,13.0,15.0,0.0,0.0,1.0,0.6613333333333333,0.0,0.0,1.0,375.0,0.0,17.0,3.0,25.0,18.0,14.0,3.0,RSL,1,2017,TOR,74.0,272.0,0.0,4.0,4.0,0.0,6.0,82.0,29.0,2.0,17.0,50.0,0.0,0.0,10.0,6.0,0.0,0.0,0.0,0.7214854111405835,1.0,1.0,0.0,377.0,0.0,8.0,3.0,13.0,21.0,17.0,4.0
