model,position,r^2,score,time
Ridge,position id_1.0,0.21240516742422577,7.533333333333333,0.1700000762939453
Huber,position id_1.0,0.22544742879876134,6.733333333333333,0.11100006103515625
RANSAC,position id_1.0,-0.2472335315349412,4.866666666666666,0.13900017738342285
SVM,position id_1.0,0.1384443801458176,6.866666666666666,0.013000011444091797
ET,position id_1.0,0.1607014051018021,6.2,0.34199976921081543
GBM,position id_1.0,-0.11280492053575975,5.4,0.16300010681152344
KNN,position id_1.0,-0.021302595346733844,6.066666666666666,0.012999773025512695
MARS,position id_1.0,0.1320442718246948,7.2,0.13700008392333984
Ridge weighted,position id_1.0,0.18690888189708255,7.066666666666666,0.008999824523925781
Huber weighted,position id_1.0,0.19281005024934517,7.133333333333334,0.13299989700317383
RANSAC weighted,position id_1.0,-0.6213872943983096,4.6,0.6200001239776611
SVM weighted,position id_1.0,0.14684576436250163,6.466666666666667,0.02299976348876953
ET weighted,position id_1.0,0.10947378412400322,5.933333333333334,0.42600011825561523
GBM weighted,position id_1.0,-0.11284122569813304,5.066666666666666,0.2760000228881836
MARS weighted,position id_1.0,0.08853055938399523,6.133333333333334,0.5529999732971191
Ridge,position id_2.0,0.14249087227856783,7.533333333333333,0.009999990463256836
Huber,position id_2.0,0.13634107263908934,7.266666666666667,0.5740001201629639
RANSAC,position id_2.0,-0.043738190029435575,6.6,0.2049999237060547
SVM,position id_2.0,0.0993198805579526,7.1,0.026999950408935547
ET,position id_2.0,0.13399605384965652,7.166666666666667,1.1959998607635498
GBM,position id_2.0,0.10520957950190535,6.8,0.5150001049041748
KNN,position id_2.0,-0.02100531660721816,6.533333333333333,0.07300019264221191
MARS,position id_2.0,0.0821926056047032,6.9,0.18400001525878906
Ridge weighted,position id_2.0,0.14234853194878172,7.566666666666666,0.01699995994567871
Huber weighted,position id_2.0,0.1416788993864413,7.566666666666666,0.6059999465942383
RANSAC weighted,position id_2.0,-0.5559964465871428,4.6,0.42100000381469727
SVM weighted,position id_2.0,0.13605552914704822,7.166666666666667,0.02200031280517578
ET weighted,position id_2.0,0.10241555535955593,6.633333333333334,1.8339998722076416
GBM weighted,position id_2.0,0.12203434398420632,7.733333333333333,0.6800000667572021
MARS weighted,position id_2.0,0.14406872271762805,7.733333333333333,0.9590001106262207
Ridge,position id_3.0,0.18476952964010984,8.2,0.017999887466430664
Huber,position id_3.0,0.1793188353168489,7.733333333333333,0.45399999618530273
RANSAC,position id_3.0,-0.03343676097219772,6.366666666666666,0.19000029563903809
SVM,position id_3.0,0.169903655976958,7.733333333333333,0.03300023078918457
ET,position id_3.0,0.17178782068893272,7.866666666666666,2.111999988555908
GBM,position id_3.0,0.14478408419995947,7.766666666666667,1.0249998569488525
KNN,position id_3.0,0.09575934611441839,7.766666666666667,0.07699990272521973
MARS,position id_3.0,0.1512805257857176,7.4,0.497999906539917
Ridge weighted,position id_3.0,0.16961707600571718,7.366666666666666,0.028999805450439453
Huber weighted,position id_3.0,0.16248283611265602,7.133333333333334,0.870999813079834
RANSAC weighted,position id_3.0,-0.3829310527300991,4.833333333333333,0.4609999656677246
SVM weighted,position id_3.0,0.16779973892766797,6.766666666666667,0.03699994087219238
ET weighted,position id_3.0,0.12383323267187818,7.833333333333333,2.4749999046325684
GBM weighted,position id_3.0,0.14035938022063676,6.633333333333334,0.8210000991821289
MARS weighted,position id_3.0,0.1523479008112938,7.433333333333334,1.7289998531341553
Ridge,position id_4.0,0.15254751270997235,8.85,0.006999969482421875
Huber,position id_4.0,0.15260710242543984,8.75,0.09100008010864258
RANSAC,position id_4.0,-0.11902418152611283,6.9,0.1380000114440918
SVM,position id_4.0,0.12757532402455007,8.6,0.012000083923339844
ET,position id_4.0,0.129932410975108,7.85,0.5090000629425049
GBM,position id_4.0,0.08691349249956304,9.15,0.22499990463256836
KNN,position id_4.0,0.016926267843344722,6.8,0.01399993896484375
MARS,position id_4.0,0.1377120596255359,8.9,0.19499993324279785
Ridge weighted,position id_4.0,0.1043939051120284,8.45,0.013000249862670898
Huber weighted,position id_4.0,0.1184711945998721,8.65,0.1660001277923584
RANSAC weighted,position id_4.0,-0.21790171315508866,8.05,0.372999906539917
SVM weighted,position id_4.0,0.11645359694688606,8.45,0.016000032424926758
ET weighted,position id_4.0,0.12304937021422713,8.5,0.7999999523162842
GBM weighted,position id_4.0,0.15040534376983283,8.2,0.29200005531311035
MARS weighted,position id_4.0,0.1145235187964494,8.6,0.695000171661377
