player,points,position id,price,last 4 avg,last 4,last 2 avg,(price / 1.5) * 5,need
Ashley Cole,80,2,6.1,2.25,9.0,2.0,20.333333333333332,11.333333333333332
Marco Donadel,4,3,5.1,2.0,8.0,2.0,17.0,9.0
Zlatan Ibrahimovic,137,4,11.0,12.75,51.0,14.5,36.666666666666664,-14.333333333333336
Tyrone Mears,30,2,5.5,3.75,15.0,2.5,18.333333333333332,3.333333333333332
DaMarcus Beasley,89,2,5.5,3.5,14.0,3.5,18.333333333333332,4.333333333333332
Wayne Rooney,16,4,10.0,3.25,13.0,5.5,33.333333333333336,20.333333333333336
Rod Fanni,100,2,6.0,2.25,9.0,2.5,20.0,11.0
Liam Ridgewell,35,2,5.5,6.0,24.0,4.5,18.333333333333332,-5.666666666666668
Bastian Schweinsteiger,153,3,9.5,7.5,30.0,6.0,31.666666666666668,1.6666666666666679
Nick Rimando,79,1,6.0,5.25,21.0,6.5,20.0,-1.0
Tim Howard,57,1,5.5,5.25,21.0,4.0,18.333333333333332,-2.666666666666668
Kyle Beckerman,84,3,6.8,4.25,17.0,4.5,22.666666666666668,5.666666666666668
Philippe Senderos,59,2,6.0,8.0,32.0,14.5,20.0,-12.0
David Villa,85,4,10.5,4.75,19.0,5.0,35.0,16.0
Jonathan Spector,26,2,5.5,1.0,4.0,0.5,18.333333333333332,14.333333333333332
Reto Ziegler,88,2,6.5,6.0,24.0,4.5,21.666666666666668,-2.333333333333332
Roland Lamah,113,3,8.3,4.0,16.0,6.5,27.666666666666668,11.666666666666668
Bradley Wright-Phillips,134,4,10.0,6.0,24.0,4.0,33.333333333333336,9.333333333333336
Ibson Barreto da Silva,108,3,8.6,4.75,19.0,5.0,28.666666666666668,9.666666666666668
Clint Dempsey,40,4,7.5,1.25,5.0,1.0,25.0,20.0
Chris McCann,72,3,6.2,3.75,15.0,5.0,20.666666666666668,5.666666666666668
Benny Feilhaber,158,3,9.3,5.75,23.0,3.5,31.0,8.0
Giles Barnes,3,4,7.0,2.0,8.0,2.0,23.333333333333332,15.333333333333332
Zoltan Stieber,100,3,8.9,5.0,20.0,4.0,29.666666666666668,9.666666666666668
Francois Affolter,13,2,5.0,1.75,7.0,2.0,16.666666666666668,9.666666666666668
Scott Sutter,15,2,5.4,3.25,13.0,5.5,18.0,5.0
Haris Medunjanin,113,3,7.7,4.75,19.0,3.0,25.666666666666668,6.666666666666668
Lee Nguyen,58,3,8.5,4.5,18.0,6.0,28.333333333333332,10.333333333333332
